elec_date,county_name,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,17,17,1,MICHAEL A. STEINBERG,DEM,0,0,36,36
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,17,17,2,BERNIE SANDERS,DEM,9,29,935,973
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,17,17,3,KEITH JUDD,DEM,0,1,55,56
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,17,17,4,HILLARY CLINTON,DEM,2,16,565,583
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,17,17,5,ROQUE ROCKY DE LA FUENTE,DEM,0,0,17,17
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,17,17,6,MARTIN J. O'MALLEY,DEM,1,1,50,52
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,17,17,7,STAR LOCKE,DEM,0,5,21,26
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,1,DONALD J. TRUMP,REP,3,16,474,493
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,2,RAND PAUL,REP,1,0,3,4
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,3,CARLY FIORINA,REP,0,0,1,1
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,4,MARCO RUBIO,REP,2,7,376,385
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,5,RICK SANTORUM,REP,0,0,1,1
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,6,TED CRUZ,REP,3,20,493,516
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,7,JEB BUSH,REP,0,0,6,6
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,8,CHRIS CHRISTIE,REP,0,0,4,4
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,9,MIKE HUCKABEE,REP,0,2,8,10
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,10,BEN CARSON,REP,0,3,109,112
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,11,LINDSEY GRAHAM,REP,0,0,1,1
03/01/2016,ADAIR,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,17,17,12,JOHN R. KASICH,REP,0,2,20,22
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,8,8,1,MICHAEL A. STEINBERG,DEM,0,1,12,13
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,8,8,2,BERNIE SANDERS,DEM,3,8,180,191
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,8,8,3,KEITH JUDD,DEM,0,0,5,5
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,8,8,4,HILLARY CLINTON,DEM,5,2,85,92
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,8,8,5,ROQUE ROCKY DE LA FUENTE,DEM,0,0,3,3
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,8,8,6,MARTIN J. O'MALLEY,DEM,0,0,16,16
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,8,8,7,STAR LOCKE,DEM,1,0,8,9
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",11004,FOR COUNTY COMMISSIONER DISTRICT NO. 1 (UNEXPIRED TERM),DEM,3,3,1,LANCE MILLER,DEM,0,4,86,90
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",11004,FOR COUNTY COMMISSIONER DISTRICT NO. 1 (UNEXPIRED TERM),DEM,3,3,2,DARROL  SCHROEDER,DEM,1,0,24,25
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,8,8,1,DONALD J. TRUMP,REP,9,9,319,337
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,8,8,2,RAND PAUL,REP,0,1,4,5
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,8,8,3,CARLY FIORINA,REP,0,0,2,2
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,8,8,4,MARCO RUBIO,REP,3,12,259,274
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,8,8,5,RICK SANTORUM,REP,0,0,0,0
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,8,8,6,TED CRUZ,REP,8,13,400,421
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,8,8,7,JEB BUSH,REP,2,0,6,8
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,8,8,8,CHRIS CHRISTIE,REP,1,0,3,4
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,8,8,9,MIKE HUCKABEE,REP,0,0,9,9
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,8,8,10,BEN CARSON,REP,0,3,64,67
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,8,8,11,LINDSEY GRAHAM,REP,0,0,0,0
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,8,8,12,JOHN R. KASICH,REP,0,0,18,18
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12004,FOR COUNTY COMMISSIONER DISTRICT NO. 1 (UNEXPIRED TERM),REP,3,3,1,MARTIN BOND,REP,2,6,60,68
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12004,FOR COUNTY COMMISSIONER DISTRICT NO. 1 (UNEXPIRED TERM),REP,3,3,2,BRETT ACKERMAN,REP,5,1,18,24
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12004,FOR COUNTY COMMISSIONER DISTRICT NO. 1 (UNEXPIRED TERM),REP,3,3,3,JUSTIN  PACKARD,REP,2,7,125,134
03/01/2016,ALFALFA,"FEDERAL, STATE AND COUNTY",12004,FOR COUNTY COMMISSIONER DISTRICT NO. 1 (UNEXPIRED TERM),REP,3,3,4,JAY RODGERS HAGUE,REP,4,5,161,170
03/01/2016,ATOKA,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,17,17,1,MICHAEL A. STEINBERG,DEM,1,2,34,37
