elec_date,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county
03/01/2016,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,1956,1956,1,MICHAEL A. STEINBERG,DEM,126,196,3849,4171,
03/01/2016,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,1956,1956,2,BERNIE SANDERS,DEM,2751,7743,163734,174228,
03/01/2016,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,1956,1956,3,KEITH JUDD,DEM,76,121,4189,4386,
03/01/2016,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,1956,1956,4,HILLARY CLINTON,DEM,3828,7919,127696,139443,
03/01/2016,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,1956,1956,5,ROQUE ROCKY DE LA FUENTE,DEM,30,62,2393,2485,
03/01/2016,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,1956,1956,6,MARTIN J. O'MALLEY,DEM,223,298,7151,7672,
03/01/2016,"FEDERAL, STATE AND COUNTY",11001,FOR PRESIDENT,DEM,1956,1956,7,STAR LOCKE,DEM,97,171,3190,3458,
03/01/2016,"FEDERAL, STATE AND COUNTY",11003,FOR COUNTY COURT CLERK (UNEXPIRED TERM),DEM,257,257,1,CHARLES GRAY,DEM,767,684,20009,21460,OKLAHOMA
03/01/2016,"FEDERAL, STATE AND COUNTY",11003,FOR COUNTY COURT CLERK (UNEXPIRED TERM),DEM,257,257,2,ANASTASIA A. PITTMAN,DEM,1042,2345,38913,42300,OKLAHOMA
03/01/2016,"FEDERAL, STATE AND COUNTY",11004,FOR COUNTY COMMISSIONER DISTRICT NO. 1 (UNEXPIRED TERM),DEM,3,3,1,LANCE MILLER,DEM,0,4,86,90,ALFALFA
03/01/2016,"FEDERAL, STATE AND COUNTY",11004,FOR COUNTY COMMISSIONER DISTRICT NO. 1 (UNEXPIRED TERM),DEM,3,3,2,DARROL  SCHROEDER,DEM,1,0,24,25,ALFALFA
03/01/2016,"FEDERAL, STATE AND COUNTY",12001,FOR PRESIDENT,REP,1956,1956,1,DONALD J. TRUMP,REP,3563,6386,120318,130267,
